item_no,description,unit
716-01.05,TEMPORARY RAISED PAVEMENT MARKER,EACH
716-01.06,"TEMPORARY RAISED PAVEMENT MARKER,WHITE",EACH
716-01.07,"TEMPORARY RAISED PAVEMENT MARKER,YELLOW",EACH
716-01.10,SNOWPLOWABLE REFLECTIVE MARKER,EACH
716-01.11,RAISED PVMT MARKERS (BI-DIRECTIONAL) (1 COLOR LENS),EACH
716-01.12,RAISED PVMT MARKERS (MONO-DIRECTIONAL) (1 COLOR LENS),EACH
716-01.13,RAISED PVMT MARKERS (BI-DIRECTIONAL) (2 COLOR LENS),EACH
716-01.14,RAISED PAVEMENT MARKER REMOVAL,EACH
716-01.21,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR) (1 COLOR),EACH
716-01.22,SNOWPLOWABLE RAISED PAVMENT MARKERS (MONO-DIR)(1 COLOR),EACH
716-01.23,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR)(2 COLOR),EACH
716-01.30,REMOVAL OF SNOWPLOWABLE REFLECTIVE MARKER,EACH
716-01.40,REMOVE AND REPLACE LENS ON SNOWPLOWABLE REFLECTIVE MARKER,EACH
716-01.99,ROUND RAISED PAVEMENT MARKER,EACH
716-02.01,PLASTIC PAVEMENT MARKING (100mm LINE),km
716-02.02,PLASTIC PAVEMENT MARKING (200mm BARRIER LINE),m
716-02.03,PLASTIC PAVEMENT MARKING (CROSS-WALK),L.F.
716-02.04,PLASTIC PAVEMENT MARKING(CHANNELIZATION STRIPING),S.Y.
716-02.05,PLASTIC PAVEMENT MARKING (STOP LINE),L.F.
716-02.06,PLASTIC PAVEMENT MARKING (TURN LANE ARROW),EACH
716-02.07,PLASTIC PAVEMENT MARKING (24 BARRIER LINE),L.F.
716-02.08,PLASTIC PAVEMENT MARKING (8 DOTTED LINE),L.F.
716-02.09,PLASTIC PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),L.F.
716-02.10,PLASTIC PAVEMENT MARKING (150mm LINE),km
716-02.11,PLASTIC PAVEMENT MARKING (6 DOTTED LINE),L.F.
716-02.12,PLASTIC PAVEMENT MARKING (8IN LINE),L.M.
716-02.13,PLASTIC PAVEMENT MARKING (CROSSWALK),S.F.
716-02.15,PLASTIC PAVEMENT MARKING (U TURN ARROW),EACH
716-02.22,PLASTIC AERIAL SPEED BARS,L.F.
716-02.23,PLASTIC PAVEMENT MARKING (12IN BARRIER LINE),L.F.
716-02.24,PLASTIC PAVEMENT MARKING (12IN DWL),L.F.
716-02.31,RETRACING PAVEMENT MARKINGS - PLASTIC (8 BARRIER LINE),L.F.
716-02.32,RETRACING PAVEMENT MARKINGS - PLASTIC (6 LINE),L.M.
716-03.01,PLASTIC WORD PAVEMENT MARKING (ONLY),EACH
716-03.02,PLASTIC WORD PAVEMENT MARKING (RXR),EACH
716-03.03,PLASTIC WORD PAVEMENT MARKING (STOP AHEAD),EACH
716-03.04,PLASTIC WORD PAVEMENT MARKING (SCHOOL),EACH
716-03.05,PLASTIC WORD PAVEMENT MARKING (BIKE LANE),EACH
716-03.06,PLASTIC WORD PAVEMENT MARKING (SIGNAL AHEAD),EACH
716-03.07,PLASTIC WORD PAVEMENT MARKING (STOP),EACH
716-03.08,PLASTIC WORD PAVEMENT MARKING (PED-XING),EACH
716-03.09,PLASTIC WORD PAVEMENT MARKING (                      ),EACH
716-03.10,PLASTIC WORD PAVEMENT MARKING (                      ),EACH
716-03.11,PLASTIC WORD PAVEMENT MARKING (                      ),EACH
716-03.12,PLASTIC PVMT MARKING (DESCRIPTION),EACH
716-03.13,PLASTIC PVMT MARKING (NO TRUCKS THIS LANE),EACH
716-04.01,PLASTIC PAVEMENT MARKING (STRAIGHT-TURN ARROW),EACH
716-04.02,PLASTIC PAVEMENT MARKING(DOUBLE TURNING ARROW),EACH
716-04.03,PLASTIC PAVEMENT MARKING (4 DOTTED LINE),L.F.
716-04.04,PLASTIC PAVEMENT MARKING (TRANSVERSE SHOULDER),L.F.
716-04.05,PLASTIC PAVEMENT MARKING (STRAIGHT ARROW),EACH
716-04.06,PLASTIC PAVEMENT MARKING (WRONG WAY ARROW),EACH
716-04.07,PLASTIC PAVEMENT MARKING (EXIT ONLY ARROW),EACH
716-04.08,PLASTIC PAVEMENT MARKING (OPTION LANE ARROW),EACH
716-04.09,PLASTIC PAVEMENT MARKING (H.O.V. DIAMOND),EACH
716-04.10,PLASTIC PAVEMENT MARKING (HANDICAP SYMBOL),EACH
716-04.11,PLASTIC PAVEMENT MARKING (BICYCLE SYMBOL W/RIDER),EACH
716-04.12,PLASTIC PAVEMENT MARKING (YIELD LINE),S.F.
716-04.13,PLASTIC PAVEMENT MARKING (BIKELANE SYMBOL & ARROW),EACH
716-04.14,PLASTIC PAVEMENT MARKING (LANE REDUCTION ARROW),EACH
716-04.15,PLASTIC PAVEMENT MARKING-BIKE SYMBOL/ARROW SHARED,EACH
716-04.16,PLASTIC PAVEMENT MARKING (NOISE STRIP),L.F.
716-04.17,PLASTIC PAVEMENT MARKING (YIELD SYMBOL),EACH
716-04.18,PLASTIC PAVEMENT MARKING (BIKE/XING),EACH
716-04.21,GREEN TEXTURED BIKE LANE,S.Y.
716-04.23,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 1 ARROW),EACH
716-04.24,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 2 ARROWS),EACH
716-04.25,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 3 ARROWS),EACH
716-05.01,PAINTED PAVEMENT MARKING (4 LINE),L.M.
716-05.02,PAINTED PAVEMENT MARKING (8 BARRIER LINE),L.F.
716-05.03,PAINTED PAVEMENT MARKING (CROSS-WALK),L.F.
716-05.04,PAINTED PAVEMENT MARKING (CHANNELIZATION STRIPING),S.Y.
716-05.05,PAINTED PAVEMENT MARKING (STOP LINE),L.F.
716-05.06,PAINTED PAVEMENT MARKING (TURN LANE ARROW),EACH
716-05.07,PAINTED PAVEMENT MARKING (24 BARRIER LINE),L.F.
716-05.08,PAINTED PAVEMENT MARKING (PARKING LINE),L.F.
716-05.09,PAINTED PAVEMENT MARKING(STRAIGHT-TURN ARROW),EACH
716-05.10,PAINTED PAVEMENT MARKING (RXR),EACH
716-05.11,PAINTED PAVEMENT MARKING(STRAIGHT ARROW),EACH
716-05.12,PAINTED PAVEMENT MARKING (CONTRAST 6 LINE),L.M.
716-05.20,PAINTED PAVEMENT MARKING (6 LINE),L.M.
716-05.21,PAINTED PAVEMENT MARKING(4DOTTED LINE),L.F.
716-05.22,PAINTED PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),L.F.
716-05.49,PAINTED PAVEMENT MARKINGS(8 LINE),L.M.
716-05.50,PAINTED PAVEMENT MARKINGS(8 LINE),L.F.
716-05.51,PAINTED PAVEMENT MARKINGS(12 LINE),L.F.
716-05.52,PAINTED PAVEMENT MARKING(AREA),S.F.
716-05.64,RETRACING PAVEMENT MARKINGS - PAINTED(6 DOTTED LINE),L.F.
716-05.69,PERFORMANCE BASED RETRACING PAINTED 4IN LINE,L.M.
716-05.70,PERFORMANCE BASED RETRACING PAINTED 6IN LINE,L.M.
716-05.71,PERFORMANCE BASED RETRACING PAINTED 8IN LINE,L.F.
716-05.72,PERFORMANCE BASED RETRACING SPRAY THERMO 4IN,L.M.
716-05.73,PERFORMANCE BASED RETRACING SPRAY THERMO 6IN,L.M.
716-05.74,PERFORMANCE BASED RETRACING SPRAY THERMO 8IN,L.F.
716-05.75,PERFORMANCE BASED RETRACING SPRAY THERMO 6IN DOTTED,L.F.
716-05.77,PERFORMANCE BASED RETRACING PAINTED 6IN DOTTED LINE,L.F.
716-05.79,PERFORMANCE BASED RETRACING SPRAY THERMO 12IN,L.M.
716-05.80,PERFORMANCE BASED RETRACING SPRAY THERMO 8IN DOTTED,L.F.
716-05.81,PERFORMANCE BASED RETRACING SPRAY THERMO 12IN DOTTED,L.F.
716-05.82,PERFORMANCE BASED RETRACING PAINTED 8IN DOTTED,L.F.
716-06.01,PAINTED WORD PVMT MARK (           ),EACH
716-08.01,REMOVAL OF PAVEMENT MARKING (LINE),L.F.
716-08.02,REMOVAL OF PAVEMENT MARKING (8 BARRIER LINE),L.F.
716-08.03,REMOVAL OF PAVEMENT MARKING (CROSS-WALK),L.F.
716-08.04,REMOVAL OF PAVEMENT MARKING (CHANNELIZATION STRIPING),S.Y.
716-08.05,REMOVAL OF PAVEMENT MARKING (STOP LINE),L.F.
716-08.06,REMOVAL OF PAVEMENT MARKING (TURN LANE ARROW),EACH
716-08.07,REMOVAL OF PAVEMENT MARKING (STRAIGHT-TURN ARROW),EACH
716-08.08,REMOVAL OF PAVEMENT MARKING (DOUBLE TURNING ARROW),EACH
716-08.09,REMOVAL OF PAVEMENT MARKING (DOTTED LINE),L.F.
716-08.10,REMOVAL OF PAVEMENT MARKING (TRANSVERSE SHOULDER),L.F.
716-08.11,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH
716-08.12,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH
716-08.13,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH
716-08.14,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH
716-08.15,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH
716-08.16,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH
716-08.17,REMOVAL OF WORD PAVEMENT MARKING (DESCRIPTION),EACH
716-08.18,REMOVAL OF PAVEMENT MARKING (WRONG WAY ARROW),EACH
716-08.19,REMOVAL OF PAVEMENT MARKING (YIELD LINE),S.F.
716-08.20,REMOVAL OF PAVEMENT MARKING (LINE),L.M.
716-08.21,REMOVAL OF PAVEMENT MARKING (24IN BARRIER LINE),L.F.
716-08.22,REMOVAL OF PAVEMENT MARKING (NOISE STRIP),L.F.
716-08.23,REMOVAL OF PAVEMENT MARKING (STRAIGHT ARROW),EACH
716-08.24,REMOVAL OF PAVEMENT MARKING (LANE REDUCTION ARROW),EACH
716-08.30,HYDROBLAST REMOVAL OF PAVEMENT MARKING (LINE),L.M.
716-08.31,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),L.M.
716-08.32,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),L.F.
716-08.33,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),EACH
716-08.34,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),S.Y.
716-09.02,WET REFLEC. PVMT MARKING(8BARRIER LINE),L.F.
716-09.03,WET REFLECTIVE PAVEMENT MARKING(6 LINE),L.M.
716-09.32,EXIT ONLY ARROW,EACH
716-09.33,6 INCH DOTTED LINE,L.F.
716-09.57,CONTRAST PVMT SHADOW MARKING 6 (TAPE),L.F.
716-09.72,WET REFLECTIVE PAVEMEMT MARKING (4LINE),L.M.
716-09.79,THERMOPLST PVMT MARK PROFILE LINE(4),L.M.
716-09.80,THERMOPLST PVMT MARK PROFILE LINE(6),L.M.
716-09.83,CONTRAST PAVEMENT MARKING 6,L.F.
716-09.84,CONTRAST PAVEMENT MARKING 8,L.F.
716-09.85,CONTRAST PAVEMENT MARKING 4,L.M.
716-09.86,CONTRAST PAVEMENT MARKING 6,L.M.
716-09.87,CONTRAST PAVEMENT MARKINGS WORDS AND SYMBOLS,EACH
716-09.88,CONTRAST PAVEMENT MARKING 8,L.M.
716-09.89,CONTRAST PAVEMENT MARKING 12,L.F.
716-09.90,CONTRAST PAVEMENT MARKING 6 DOTTED,L.F.
716-09.94,CONTRAST PAVEMENT SHADOW MARKING 6,L.M.
716-09.95,CONTRAST PAVEMENT SHADOW MARKING 8,L.M.
716-09.97,CONTRAST PAVEMENT SHADOW MARKING 6,L.F.
716-09.98,CONTRAST PAVEMENT SHADOW MARKING 8,L.F.
716-10.07,PREFORMED PLASTIC PAVEMENT MARKING (STOP LINE),L.F.
716-10.15,PREFORMED PLASTIC PAVEMENT MARKING (NO TRUCKS THIS LANE),EACH
716-10.23,PREFRMD PLSTC PVMNT MRKING 4IN LINE W/1.5IN BLACK SILHOUETTE,L.M.
716-10.26,WET NIGHT VISIBLE PAVEMENT MARKING (6 DOTTED LINE),L.F.
716-10.30,TRUNCATED DOME DETECTABLE WARNING MAT,S.F.
716-10.40,REMV & REPLC LENS ON SNOWPLW RFLCTV MKR,EACH
716-10.50,PREFORMED PLASTIC PAVEMENT MARKING (INTERSTATE SHIELD),EACH
716-10.51,PRFRMED PLSTC PVMNT MRKNG (STATE SHLD),EACH
716-10.52,PRFRMED PLSTC PVMNT MRKNG (US SHLD),EACH
716-11.01,SPRAY THERMO PAVEMENT MARKING (4IN LINE),L.M.
716-12.01,ENHANCED FLATLINE THERMO  PVMT MRKNG (4IN LINE),L.M.
716-12.02,ENHANCED FLATLINE THERMO  PVMT MRKNG (6IN LINE),L.M.
716-12.03,ENHANCED FLATLINE THERMO  PVMT MRKNG (8IN BARRIER LINE),L.F.
716-12.04,ENHANCED FLATLINE THERMO  PVMT MRKNG (4IN DOTTED LINE),L.F.
716-12.05,ENHANCED FLATLINE THERMO  PVMT MRKNG (6IN DOTTED LINE),L.F.
716-12.06,ENHANCED FLAT LINE THERMO (8IN LINE),L.F.
716-12.07,ENHANCED FLAT LINE THERMO (8IN BROKEN LN),L.F.
716-12.08,ENHANCED FLAT LINE THERMO (12IN BARRIER LINE),L.F.
716-12.09,ENHANCED FLAT LINE THERMO (12IN LINE),L.F.
716-12.10,ENHANCED FLAT LINE THERMO (12IN DOTTED),L.F.
716-13.01,SPRAY THERMO PVMT MRKNG (60 mil) (4IN LINE),L.M.
716-13.02,SPRAY THERMO PVMT MRKNG (60 mil) (6IN LINE),L.M.
716-13.03,SPRAY THERMO PVMT MRKNG (60 mil) (8IN BARRIER LINE),L.F.
716-13.04,SPRAY THERMO PVMT MRKNG (60 mil) (4IN DOTTED LINE),L.F.
716-13.05,SPRAY THERMO PVMT MRKNG (60 mil) (6IN DOTTED LINE),L.F.
716-13.06,SPRAY THERMO PVMT MRKNG (40 mil) (4IN LINE),L.M.
716-13.07,SPRAY THERMO PVMT MRKNG (40 mil) (6IN LINE),L.M.
716-13.08,SPRAY THERMO PVMT MRKNG (40 mil) (8IN BARRIER LINE),L.F.
716-13.09,SPRAY THERMO PVMT MRKNG (40 mil) (4IN DOTTED LINE),L.F.
716-13.10,SPRAY THERMO PVMT MRKNG (40 mil) (6IN DOTTED LINE),L.F.
716-13.11,SPRAY THERMO PVMT MRKNG (60 MIL 12IN BARRIER LINE),L.F.
716-13.12,SPRAY THERMO PVMT MRKNG (60 mil) (6IN BLACK LEAD-LAG LINE),L.M.
716-14.01,PROFILED THERMO PVMT MRKNG AUDIBLE (4IN),L.M.
716-14.02,PROFILED THERMO PVMT MRKNG AUDIBLE (6IN),L.M.
716-15.01,YELLOW TEXTURED BUFFER,S.Y.
716-15.10,PREFORMED PERMANENT TAPE (6IN LINE),L.F.
716-15.11,PREFORMED PERMANENT TAPE (8IN LINE),L.F.
716-15.12,PREFORMED PERMANENT TAPE (12IN LINE),L.F.
716-15.20,PREFORMED PERMANENT TAPE (24IN BARRIER LINE),L.F.
716-16.10,PREFORMED  YIELD WORD (8FT W/ 1 Â½IN BLACK CONTRAST),EACH
716-40.01,POLYUREA PAVEMENT MARKING (6IN LINE),L.M.
716-40.02,POLYUREA PAVEMENT MARKINGS-WORDS-SYMBOLS,EACH
716-40.03,POLYUREA PAVEMENT MARKING (STOP BAR),L.F.
716-40.42,GROOVING FOR RECESSED PAVEMENT MARKING (SOLID),L.M.
716-50.01,ROADWAY CLEANING FOR PAVEMENT MARKING,L.M.
716-80.01,PROTECTIVE BOLLARDS,EACH
716-99.50,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,LS
716-99.51,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,LS
716-99.52,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,LS
716-99.91,PAVEMENT MARKINGS,LS
